tweet_id,retweet_count,favorite_count,created_at
892420643555336193,6969,33674,2017-08-01 16:23:56+00:00
892177421306343426,5272,29204,2017-08-01 00:17:27+00:00
891815181378084864,3464,21967,2017-07-31 00:18:03+00:00
891689557279858688,7183,36750,2017-07-30 15:58:51+00:00
891327558926688256,7715,35141,2017-07-29 16:00:24+00:00
891087950875897856,2583,17726,2017-07-29 00:08:17+00:00
890971913173991426,1647,10316,2017-07-28 16:27:12+00:00
890729181411237888,15679,56603,2017-07-28 00:22:40+00:00
890609185150312448,3604,24412,2017-07-27 16:25:51+00:00
890240255349198849,6067,27822,2017-07-26 15:59:51+00:00
890006608113172480,6112,26932,2017-07-26 00:31:25+00:00
889880896479866881,4141,24478,2017-07-25 16:11:53+00:00
889665388333682689,8302,41847,2017-07-25 01:55:32+00:00
889638837579907072,3700,23557,2017-07-25 00:10:02+00:00
889531135344209921,1874,13298,2017-07-24 17:02:04+00:00
889278841981685760,4419,21990,2017-07-24 00:19:32+00:00
888917238123831296,3742,25506,2017-07-23 00:22:39+00:00
888804989199671297,3513,22370,2017-07-22 16:56:37+00:00
888554962724278272,2863,17238,2017-07-22 00:23:06+00:00
888078434458587136,2885,19081,2017-07-20 16:49:33+00:00
887705289381826560,4516,26506,2017-07-19 16:06:48+00:00
887517139158093824,9809,40546,2017-07-19 03:39:09+00:00
887473957103951883,14952,59932,2017-07-19 00:47:34+00:00
887343217045368832,8773,29456,2017-07-18 16:08:03+00:00
887101392804085760,4969,26873,2017-07-18 00:07:08+00:00
886983233522544640,6287,30230,2017-07-17 16:17:36+00:00
886736880519319552,2616,10453,2017-07-16 23:58:41+00:00
886680336477933568,3720,19644,2017-07-16 20:14:00+00:00
886366144734445568,2612,18484,2017-07-15 23:25:31+00:00
886267009285017600,4,105,2017-07-15 16:51:35+00:00
886258384151887873,5253,24431,2017-07-15 16:17:19+00:00
886054160059072513,93,0,2017-07-15 02:45:48+00:00
885984800019947520,5589,28475,2017-07-14 22:10:11+00:00
885528943205470208,5306,31473,2017-07-13 15:58:47+00:00
885518971528720385,3097,17927,2017-07-13 15:19:09+00:00
885311592912609280,15365,0,2017-07-13 01:35:06+00:00
885167619883638784,3652,19176,2017-07-12 16:03:00+00:00
884925521741709313,14943,66899,2017-07-12 00:01:00+00:00
884876753390489601,4639,24279,2017-07-11 20:47:12+00:00
884562892145688576,3896,21219,2017-07-11 00:00:02+00:00
884441805382717440,4777,23767,2017-07-10 15:58:53+00:00
884247878851493888,16822,62951,2017-07-10 03:08:17+00:00
884162670584377345,2493,17875,2017-07-09 21:29:42+00:00
883838122936631299,2849,19071,2017-07-09 00:00:04+00:00
883482846933004288,8221,40019,2017-07-08 00:28:19+00:00
883360690899218434,3061,19865,2017-07-07 16:22:55+00:00
883117836046086144,5513,32374,2017-07-07 00:17:54+00:00
882992080364220416,3229,20900,2017-07-06 15:58:11+00:00
882762694511734784,4077,24678,2017-07-06 00:46:41+00:00
882627270321602560,5042,24506,2017-07-05 15:48:34+00:00
882268110199369728,9583,39022,2017-07-04 16:01:23+00:00
882045870035918850,4066,25607,2017-07-04 01:18:17+00:00
881906580714921986,2840,21362,2017-07-03 16:04:48+00:00
881666595344535552,8912,44365,2017-07-03 00:11:11+00:00
881633300179243008,8,113,2017-07-02 21:58:53+00:00
881536004380872706,13348,43255,2017-07-02 15:32:16+00:00
881268444196462592,4481,20411,2017-07-01 21:49:04+00:00
880935762899988482,2325,14988,2017-06-30 23:47:07+00:00
880872448815771648,3191,18640,2017-06-30 19:35:32+00:00
880465832366813184,5192,24912,2017-06-29 16:39:47+00:00
880221127280381952,3448,23555,2017-06-29 00:27:25+00:00
880095782870896641,3634,24216,2017-06-28 16:09:20+00:00
879862464715927552,2913,19625,2017-06-28 00:42:13+00:00
879674319642796034,9,281,2017-06-27 12:14:36+00:00
879492040517615616,2619,20630,2017-06-27 00:10:17+00:00
879415818425184262,37219,92430,2017-06-26 19:07:24+00:00
879376492567855104,2634,14791,2017-06-26 16:31:08+00:00
879130579576475649,5710,0,2017-06-26 00:13:58+00:00
879050749262655488,3935,19729,2017-06-25 18:56:45+00:00
879008229531029506,2230,16708,2017-06-25 16:07:47+00:00
878776093423087618,3418,17065,2017-06-25 00:45:22+00:00
878604707211726852,5897,26341,2017-06-24 13:24:20+00:00
878404777348136964,1068,0,2017-06-24 00:09:53+00:00
878316110768087041,5501,0,2017-06-23 18:17:33+00:00
878281511006478336,1068,6753,2017-06-23 16:00:04+00:00
878057613040115712,5710,36994,2017-06-23 01:10:23+00:00
877736472329191424,15733,68925,2017-06-22 03:54:17+00:00
877611172832227328,70,0,2017-06-21 19:36:23+00:00
877556246731214848,3152,19825,2017-06-21 15:58:08+00:00
877316821321428993,4321,24051,2017-06-21 00:06:44+00:00
877201837425926144,4602,23776,2017-06-20 16:29:50+00:00
876838120628539392,2795,18153,2017-06-19 16:24:33+00:00
876537666061221889,3961,20970,2017-06-18 20:30:39+00:00
876484053909872640,1989,16505,2017-06-18 16:57:37+00:00
876120275196170240,3890,24601,2017-06-17 16:52:05+00:00
875747767867523072,3564,22021,2017-06-16 16:11:53+00:00
875144289856114688,4132,19355,2017-06-15 00:13:52+00:00
875097192612077568,5092,24158,2017-06-14 21:06:43+00:00
875021211251597312,3954,22480,2017-06-14 16:04:48+00:00
874680097055178752,3906,24491,2017-06-13 17:29:20+00:00
874434818259525634,12159,0,2017-06-13 01:14:41+00:00
874296783580663808,3470,22871,2017-06-12 16:06:11+00:00
874057562936811520,3367,20049,2017-06-12 00:15:36+00:00
874012996292530176,8551,30010,2017-06-11 21:18:31+00:00
873580283840344065,3333,21298,2017-06-10 16:39:04+00:00
873337748698140672,1327,0,2017-06-10 00:35:19+00:00
